frame,class,conf,x1,y1,x2,y2,cx,cy,track_id,vx,vy,speed_px_frame,direction_deg
65,0,0.3015,608,0,637,20,622.5,10.0,2,0.0,0.0,0.0,0.0
66,0,0.6943,633,0,673,28,653.0,14.0,2,30.5,4.0,30.76117683054405,0.0
67,0,0.8101,656,0,702,43,679.0,21.5,2,26.0,7.5,27.060118255469614,0.0
68,0,0.8291,682,11,726,50,704.0,30.5,2,25.0,9.0,26.570660511172846,0.0
69,0,0.8716,708,25,750,63,729.0,44.0,2,25.0,13.5,28.412145290350743,0.0
70,0,0.8247,733,40,773,75,753.0,57.5,2,24.0,13.5,27.536339626028727,0.0
71,0,0.8345,754,56,790,89,772.0,72.5,2,19.0,15.0,24.20743687382041,0.0
72,0,0.8071,776,71,810,106,793.0,88.5,2,21.0,16.0,26.40075756488817,0.0
73,0,0.792,798,91,830,121,814.0,106.0,2,21.0,17.5,27.33587386567329,0.0
74,0,0.8364,813,107,847,144,830.0,125.5,2,16.0,19.5,25.22399651125888,0.0
75,0,0.8687,829,126,864,161,846.5,143.5,2,16.5,18.0,24.41823089414956,0.0
76,0,0.792,846,145,878,178,862.0,161.5,2,15.5,18.0,23.753947040439407,0.0
77,0,0.7827,862,165,892,196,877.0,180.5,2,15.0,19.0,24.20743687382041,0.0
78,0,0.8184,877,186,907,216,892.0,201.0,2,15.0,20.5,25.40177159176108,0.0
79,0,0.8462,891,207,918,234,904.5,220.5,2,12.5,19.5,23.16246964380094,0.0
80,0,0.7969,903,225,929,252,916.0,238.5,2,11.5,18.0,21.360009363293827,0.0
81,0,0.8198,918,244,942,272,930.0,258.0,2,14.0,19.5,24.005207768315607,0.0
82,0,0.7466,928,262,952,295,940.0,278.5,2,10.0,20.5,22.808989455914087,0.0
83,0,0.7202,942,284,965,315,953.5,299.5,2,13.5,21.0,24.964975465639856,0.0
84,0,0.7676,954,306,977,335,965.5,320.5,2,12.0,21.0,24.186773244895647,0.0
85,0,0.792,963,329,987,354,975.0,341.5,2,9.5,21.0,23.04886114323222,0.0
86,0,0.1246,970,347,988,363,979.0,355.0,2,4.0,13.5,14.080127840328725,0.0
87,0,0.7817,984,370,1004,394,994.0,382.0,2,15.0,27.0,30.886890422961,0.0
88,0,0.5039,994,394,1014,412,1004.0,403.0,2,10.0,21.0,23.259406699226016,0.0
89,0,0.3142,1007,415,1023,433,1015.0,424.0,2,11.0,21.0,23.706539182259394,0.0
97,0,0.1938,1014,422,1029,438,1021.5,430.0,2,0.8125,0.75,1.1057378758096332,0.0
98,0,0.6875,1006,404,1024,423,1015.0,413.5,2,-6.5,-16.5,17.7341478509682,0.0
100,0,0.7593,991,366,1009,387,1000.0,376.5,2,-7.5,-18.5,19.96246477767713,0.0
101,0,0.3267,981,343,999,361,990.0,352.0,2,-10.0,-24.5,26.462237244798484,0.0
102,0,0.1128,974,330,996,351,985.0,340.5,2,-5.0,-11.5,12.539936203984452,0.0
103,0,0.7397,965,314,987,338,976.0,326.0,2,-9.0,-14.5,17.066048165876012,0.0
104,0,0.7876,957,298,979,322,968.0,310.0,2,-8.0,-16.0,17.88854381999832,0.0
105,0,0.1582,950,285,972,309,961.0,297.0,2,-7.0,-13.0,14.7648230602334,0.0
106,0,0.8071,942,270,963,294,952.5,282.0,2,-8.5,-15.0,17.240939649566666,0.0
107,0,0.8198,932,257,953,280,942.5,268.5,2,-10.0,-13.5,16.80029761641144,0.0
108,0,0.2896,926,249,948,271,937.0,260.0,2,-5.5,-8.5,10.124228365658292,0.0
109,0,0.8115,917,236,939,259,928.0,247.5,2,-9.0,-12.5,15.402921800749365,0.0
110,0,0.8081,908,227,930,251,919.0,239.0,2,-9.0,-8.5,12.379418403139947,0.0
111,0,0.4775,901,220,925,244,913.0,232.0,2,-6.0,-7.0,9.219544457292889,0.0
112,0,0.4543,892,214,916,238,904.0,226.0,2,-9.0,-6.0,10.816653826391969,0.0
113,0,0.8154,884,208,906,232,895.0,220.0,2,-9.0,-6.0,10.816653826391969,0.0
114,0,0.626,874,204,898,227,886.0,215.5,2,-9.0,-4.5,10.062305898749054,0.0
115,0,0.8423,868,199,891,222,879.5,210.5,2,-6.5,-5.0,8.200609733428363,0.0
116,0,0.8218,858,196,881,220,869.5,208.0,2,-10.0,-2.5,10.307764064044152,0.0
117,0,0.751,850,195,874,219,862.0,207.0,2,-7.5,-1.0,7.566372975210778,0.0
118,0,0.7983,843,194,866,218,854.5,206.0,2,-7.5,-1.0,7.566372975210778,0.0
119,0,0.7852,834,193,858,218,846.0,205.5,2,-8.5,-0.5,8.514693182963201,0.0
120,0,0.8008,826,195,850,219,838.0,207.0,2,-8.0,1.5,8.139410298049853,0.0
121,0,0.8462,817,198,841,222,829.0,210.0,2,-9.0,3.0,9.486832980505138,0.0
122,0,0.8154,808,201,832,225,820.0,213.0,2,-9.0,3.0,9.486832980505138,0.0
123,0,0.8184,801,207,824,231,812.5,219.0,2,-7.5,6.0,9.604686356149273,0.0
124,0,0.8115,791,212,816,237,803.5,224.5,2,-9.0,5.5,10.547511554864494,0.0
125,0,0.792,784,219,808,243,796.0,231.0,2,-7.5,6.5,9.924716620639604,0.0
