frame,class,conf,x1,y1,x2,y2
3,0,0.2536,1157,574,1173,593
4,0,0.7520,1156,591,1171,607
6,0,0.7464,1156,614,1171,630
7,0,0.7464,1156,614,1171,630
9,0,0.7617,1158,592,1171,607
11,0,0.7432,1157,573,1172,588
12,0,0.7490,1156,562,1174,580
14,0,0.1075,1161,549,1177,563
21,0,0.2839,1162,549,1177,563
22,0,0.1901,1161,550,1176,565
23,0,0.1545,1162,551,1177,566
38,0,0.6562,1158,563,1174,579
39,0,0.6636,1159,573,1174,590
40,0,0.3647,1158,599,1172,614
41,0,0.7139,1158,613,1172,628
42,0,0.6001,1159,612,1171,625
43,0,0.1635,1158,599,1172,615
44,0,0.7607,1157,591,1173,608
45,0,0.7607,1157,591,1173,608
46,0,0.2471,1158,583,1174,601
47,0,0.5830,1158,574,1173,591
48,0,0.7158,1159,567,1174,584
49,0,0.2081,1160,562,1176,577
57,0,0.2247,1304,620,1317,636
58,0,0.1437,1303,621,1318,636
70,0,0.1125,1162,551,1177,566
72,0,0.3303,1161,559,1178,577
73,0,0.5508,1158,570,1175,587
74,0,0.4038,1156,583,1174,601
75,0,0.7173,1158,597,1172,611
76,0,0.4053,1158,610,1172,625
77,0,0.5508,1158,610,1172,625
78,0,0.7534,1157,592,1173,609
79,0,0.2332,1157,584,1173,600
80,0,0.5020,1158,574,1176,594
81,0,0.7324,1159,567,1174,584
82,0,0.1716,1161,559,1178,577
83,0,0.1733,1161,559,1178,577
104,0,0.6846,1158,562,1176,580
105,0,0.1311,1156,574,1176,595
106,0,0.7476,1156,592,1171,607
108,0,0.7310,1157,616,1172,633
110,0,0.7202,1158,596,1171,609
111,0,0.6689,1158,587,1172,602
112,0,0.2886,1158,575,1175,593
113,0,0.7158,1159,570,1174,585
114,0,0.6060,1160,562,1176,577
142,0,0.2323,1174,562,1189,577
144,0,0.1486,1177,560,1195,576
145,0,0.4436,1182,561,1199,577
146,0,0.2637,1183,560,1201,576
147,0,0.2161,1186,559,1204,577
150,0,0.1180,1193,559,1212,577
151,0,0.3962,1195,561,1213,578
152,0,0.3225,1195,562,1213,580
153,0,0.1285,1195,565,1213,582
158,0,0.3674,1186,570,1204,588
159,0,0.3667,1186,570,1204,588
160,0,0.6152,1186,572,1201,588
161,0,0.7417,1182,572,1199,588
162,0,0.5903,1180,574,1195,591
163,0,0.6284,1175,574,1193,592
164,0,0.6040,1173,574,1190,589
165,0,0.1656,1171,573,1189,589
167,0,0.6021,1162,568,1180,586
168,0,0.7217,1159,564,1177,581
169,0,0.6353,1158,561,1175,578
181,0,0.3933,1139,475,1155,493
182,0,0.3667,1139,472,1155,489
183,0,0.5601,1138,469,1153,484
184,0,0.4321,1138,466,1153,481
185,0,0.3296,1138,465,1153,481
186,0,0.1399,1138,464,1153,480
188,0,0.1177,1138,464,1153,480
190,0,0.2554,1137,464,1152,480
191,0,0.6528,1136,465,1152,482
192,0,0.7676,1135,471,1150,487
193,0,0.7417,1135,474,1150,491
194,0,0.5459,1134,477,1150,494
196,0,0.3884,1133,489,1149,504
197,0,0.3884,1133,489,1149,504
198,0,0.1733,1129,487,1147,505
202,0,0.1830,1089,430,1106,448
203,0,0.6479,1079,420,1095,435
204,0,0.4246,1064,407,1083,426
205,0,0.7295,1054,396,1072,414
206,0,0.4697,1042,382,1060,400
207,0,0.7788,1032,372,1049,389
208,0,0.1389,1017,359,1036,380
209,0,0.7090,1006,353,1021,369
210,0,0.6338,991,343,1009,361
211,0,0.8096,965,325,984,345
213,0,0.6367,937,310,958,331
214,0,0.3286,923,305,944,326
215,0,0.7817,909,300,929,321
216,0,0.7827,909,300,929,321
217,0,0.7295,894,296,914,315
218,0,0.5508,878,294,902,315
219,0,0.5522,863,291,884,313
220,0,0.3923,845,286,869,310
221,0,0.1825,831,290,852,313
222,0,0.2878,811,287,835,310
223,0,0.5225,793,291,814,313
224,0,0.7944,774,294,798,316
225,0,0.7617,753,300,776,321
226,0,0.7817,734,304,759,329
227,0,0.7490,711,313,742,339
228,0,0.8071,689,321,720,349
229,0,0.7920,671,331,699,355
230,0,0.3320,631,361,654,385
231,0,0.8115,602,374,631,401
232,0,0.6929,585,389,612,417
233,0,0.5522,562,411,589,438
234,0,0.6772,530,427,561,463
235,0,0.7007,514,449,547,482
236,0,0.7007,514,449,547,482
239,0,0.3091,432,525,467,569
240,0,0.8008,409,559,444,595
241,0,0.6890,380,593,416,630
242,0,0.7866,382,577,411,615
243,0,0.6094,403,543,438,581
244,0,0.7310,417,505,461,553
245,0,0.6670,431,481,465,517
246,0,0.7920,449,456,480,488
247,0,0.7339,464,430,495,463
248,0,0.7593,478,404,510,435
249,0,0.8213,509,362,536,392
250,0,0.8247,521,344,549,371
251,0,0.8184,535,324,564,354
252,0,0.8164,549,306,578,336
253,0,0.7646,561,293,588,322
254,0,0.8257,572,281,599,306
255,0,0.8257,572,281,599,306
256,0,0.7388,584,267,613,299
257,0,0.7734,596,259,627,288
258,0,0.7769,606,249,637,279
259,0,0.8267,620,241,648,269
260,0,0.8198,631,237,658,262
261,0,0.8125,643,231,670,255
262,0,0.7666,656,228,680,250
263,0,0.7905,666,226,688,247
264,0,0.8184,675,226,698,247
265,0,0.4844,685,224,709,249
266,0,0.7554,693,226,719,253
267,0,0.4768,706,230,731,255
268,0,0.7817,723,235,751,262
269,0,0.7261,734,241,760,267
270,0,0.8218,744,247,770,274
271,0,0.7041,753,253,778,279
272,0,0.6846,762,262,785,286
273,0,0.8140,771,271,794,297
274,0,0.8140,771,271,794,297
275,0,0.5332,780,282,805,305
276,0,0.8408,788,292,813,319
277,0,0.8311,799,306,820,330
278,0,0.5049,808,319,829,341
279,0,0.5776,816,334,837,356
280,0,0.7944,825,346,847,373
281,0,0.6406,834,364,854,385
282,0,0.7637,839,379,860,403
283,0,0.7842,848,397,867,421
284,0,0.7070,855,413,879,440
285,0,0.5659,864,433,883,457
286,0,0.7173,871,453,892,475
287,0,0.5156,882,486,903,508
288,0,0.2568,874,465,897,489
289,0,0.7617,868,444,888,464
290,0,0.7280,862,419,880,444
291,0,0.3640,851,397,872,421
292,0,0.8081,845,377,864,399
293,0,0.8081,845,377,864,399
294,0,0.7520,835,356,858,381
296,0,0.7891,821,323,842,348
297,0,0.1866,814,311,832,332
299,0,0.7246,799,285,817,306
300,0,0.8081,790,270,811,291
301,0,0.3611,783,261,804,282
302,0,0.7930,774,252,797,275
303,0,0.7666,767,243,790,267
304,0,0.6807,761,237,783,260
305,0,0.6909,753,231,776,254
306,0,0.7070,740,225,759,245
308,0,0.1356,726,215,744,236
309,0,0.2620,720,215,741,234
311,0,0.2013,706,215,725,234
312,0,0.2007,706,215,725,234
314,0,0.2524,695,224,710,240
316,0,0.7358,681,229,702,254
317,0,0.4338,675,238,695,259
318,0,0.1677,669,245,687,264
