frame,class,conf,x1,y1,x2,y2,cx,cy,track_id,vx,vy,speed_px_frame,direction_deg
3,0,0.2536,1157,574,1173,593,1165.0,583.5,0,0.0,0.0,0.0,0.0
4,0,0.752,1156,591,1171,607,1163.5,599.0,0,-1.5,15.5,15.572411502397436,0.0
6,0,0.7464,1156,614,1171,630,1163.5,622.0,0,0.0,11.5,11.5,0.0
7,0,0.7464,1156,614,1171,630,1163.5,622.0,0,0.0,0.0,0.0,0.0
9,0,0.7617,1158,592,1171,607,1164.5,599.5,0,0.5,-11.25,11.261105629555209,0.0
11,0,0.7432,1157,573,1172,588,1164.5,580.5,0,0.0,-9.5,9.5,0.0
12,0,0.749,1156,562,1174,580,1165.0,571.0,0,0.5,-9.5,9.513148795220223,0.0
14,0,0.1075,1161,549,1177,563,1169.0,556.0,0,2.0,-7.5,7.762087348130012,0.0
21,0,0.2839,1162,549,1177,563,1169.5,556.0,0,0.07142857142857142,0.0,0.07142857142857142,0.0
22,0,0.1901,1161,550,1176,565,1168.5,557.5,0,-1.0,1.5,1.8027756377319946,0.0
23,0,0.1545,1162,551,1177,566,1169.5,558.5,0,1.0,1.0,1.4142135623730951,0.0
38,0,0.6562,1158,563,1174,579,1166.0,571.0,0,-0.23333333333333334,0.8333333333333334,0.865383665716478,0.0
39,0,0.6636,1159,573,1174,590,1166.5,581.5,0,0.5,10.5,10.51189802081432,0.0
40,0,0.3647,1158,599,1172,614,1165.0,606.5,0,-1.5,25.0,25.04495957273639,0.0
41,0,0.7139,1158,613,1172,628,1165.0,620.5,0,0.0,14.0,14.0,0.0
42,0,0.6001,1159,612,1171,625,1165.0,618.5,0,0.0,-2.0,2.0,0.0
43,0,0.1635,1158,599,1172,615,1165.0,607.0,0,0.0,-11.5,11.5,0.0
44,0,0.7607,1157,591,1173,608,1165.0,599.5,0,0.0,-7.5,7.5,0.0
45,0,0.7607,1157,591,1173,608,1165.0,599.5,0,0.0,0.0,0.0,0.0
46,0,0.2471,1158,583,1174,601,1166.0,592.0,0,1.0,-7.5,7.566372975210778,0.0
47,0,0.583,1158,574,1173,591,1165.5,582.5,0,-0.5,-9.5,9.513148795220223,0.0
48,0,0.7158,1159,567,1174,584,1166.5,575.5,0,1.0,-7.0,7.0710678118654755,0.0
49,0,0.2081,1160,562,1176,577,1168.0,569.5,0,1.5,-6.0,6.18465843842649,0.0
57,0,0.2247,1304,620,1317,636,1310.5,628.0,1,0.0,0.0,0.0,0.0
58,0,0.1437,1303,621,1318,636,1310.5,628.5,1,0.0,0.5,0.5,0.0
70,0,0.1125,1162,551,1177,566,1169.5,558.5,2,0.0,0.0,0.0,0.0
72,0,0.3303,1161,559,1178,577,1169.5,568.0,2,0.0,4.75,4.75,0.0
73,0,0.5508,1158,570,1175,587,1166.5,578.5,2,-3.0,10.5,10.920164833920778,0.0
74,0,0.4038,1156,583,1174,601,1165.0,592.0,2,-1.5,13.5,13.583077707206124,0.0
75,0,0.7173,1158,597,1172,611,1165.0,604.0,2,0.0,12.0,12.0,0.0
76,0,0.4053,1158,610,1172,625,1165.0,617.5,2,0.0,13.5,13.5,0.0
77,0,0.5508,1158,610,1172,625,1165.0,617.5,2,0.0,0.0,0.0,0.0
78,0,0.7534,1157,592,1173,609,1165.0,600.5,2,0.0,-17.0,17.0,0.0
79,0,0.2332,1157,584,1173,600,1165.0,592.0,2,0.0,-8.5,8.5,0.0
80,0,0.502,1158,574,1176,594,1167.0,584.0,2,2.0,-8.0,8.246211251235321,0.0
81,0,0.7324,1159,567,1174,584,1166.5,575.5,2,-0.5,-8.5,8.514693182963201,0.0
82,0,0.1716,1161,559,1178,577,1169.5,568.0,2,3.0,-7.5,8.077747210701755,0.0
83,0,0.1733,1161,559,1178,577,1169.5,568.0,2,0.0,0.0,0.0,0.0
104,0,0.6846,1158,562,1176,580,1167.0,571.0,3,0.0,0.0,0.0,0.0
105,0,0.1311,1156,574,1176,595,1166.0,584.5,3,-1.0,13.5,13.536986370680884,0.0
106,0,0.7476,1156,592,1171,607,1163.5,599.5,3,-2.5,15.0,15.20690632574555,0.0
108,0,0.731,1157,616,1172,633,1164.5,624.5,3,0.5,12.5,12.509996003196804,0.0
110,0,0.7202,1158,596,1171,609,1164.5,602.5,3,0.0,-11.0,11.0,0.0
111,0,0.6689,1158,587,1172,602,1165.0,594.5,3,0.5,-8.0,8.0156097709407,0.0
112,0,0.2886,1158,575,1175,593,1166.5,584.0,3,1.5,-10.5,10.606601717798213,0.0
113,0,0.7158,1159,570,1174,585,1166.5,577.5,3,0.0,-6.5,6.5,0.0
114,0,0.606,1160,562,1176,577,1168.0,569.5,3,1.5,-8.0,8.139410298049853,0.0
142,0,0.2323,1174,562,1189,577,1181.5,569.5,4,0.0,0.0,0.0,0.0
144,0,0.1486,1177,560,1195,576,1186.0,568.0,4,2.25,-0.75,2.3717082451262845,0.0
145,0,0.4436,1182,561,1199,577,1190.5,569.0,4,4.5,1.0,4.6097722286464435,0.0
146,0,0.2637,1183,560,1201,576,1192.0,568.0,4,1.5,-1.0,1.8027756377319946,0.0
147,0,0.2161,1186,559,1204,577,1195.0,568.0,4,3.0,0.0,3.0,0.0
150,0,0.118,1193,559,1212,577,1202.5,568.0,4,2.5,0.0,2.5,0.0
151,0,0.3962,1195,561,1213,578,1204.0,569.5,4,1.5,1.5,2.1213203435596424,0.0
152,0,0.3225,1195,562,1213,580,1204.0,571.0,4,0.0,1.5,1.5,0.0
153,0,0.1285,1195,565,1213,582,1204.0,573.5,4,0.0,2.5,2.5,0.0
158,0,0.3674,1186,570,1204,588,1195.0,579.0,4,-1.8,1.1,2.1095023109728985,0.0
159,0,0.3667,1186,570,1204,588,1195.0,579.0,4,0.0,0.0,0.0,0.0
160,0,0.6152,1186,572,1201,588,1193.5,580.0,4,-1.5,1.0,1.8027756377319946,0.0
161,0,0.7417,1182,572,1199,588,1190.5,580.0,4,-3.0,0.0,3.0,0.0
162,0,0.5903,1180,574,1195,591,1187.5,582.5,4,-3.0,2.5,3.905124837953327,0.0
163,0,0.6284,1175,574,1193,592,1184.0,583.0,4,-3.5,0.5,3.5355339059327378,0.0
164,0,0.604,1173,574,1190,589,1181.5,581.5,4,-2.5,-1.5,2.9154759474226504,0.0
165,0,0.1656,1171,573,1189,589,1180.0,581.0,4,-1.5,-0.5,1.5811388300841898,0.0
167,0,0.6021,1162,568,1180,586,1171.0,577.0,4,-4.5,-2.0,4.924428900898052,0.0
168,0,0.7217,1159,564,1177,581,1168.0,572.5,4,-3.0,-4.5,5.408326913195984,0.0
169,0,0.6353,1158,561,1175,578,1166.5,569.5,4,-1.5,-3.0,3.3541019662496847,0.0
181,0,0.3933,1139,475,1155,493,1147.0,484.0,4,-1.625,-7.125,7.307957991121733,0.0
182,0,0.3667,1139,472,1155,489,1147.0,480.5,4,0.0,-3.5,3.5,0.0
183,0,0.5601,1138,469,1153,484,1145.5,476.5,4,-1.5,-4.0,4.272001872658765,0.0
184,0,0.4321,1138,466,1153,481,1145.5,473.5,4,0.0,-3.0,3.0,0.0
185,0,0.3296,1138,465,1153,481,1145.5,473.0,4,0.0,-0.5,0.5,0.0
186,0,0.1399,1138,464,1153,480,1145.5,472.0,4,0.0,-1.0,1.0,0.0
188,0,0.1177,1138,464,1153,480,1145.5,472.0,4,0.0,0.0,0.0,0.0
190,0,0.2554,1137,464,1152,480,1144.5,472.0,4,-0.5,0.0,0.5,0.0
191,0,0.6528,1136,465,1152,482,1144.0,473.5,4,-0.5,1.5,1.5811388300841898,0.0
192,0,0.7676,1135,471,1150,487,1142.5,479.0,4,-1.5,5.5,5.70087712549569,0.0
193,0,0.7417,1135,474,1150,491,1142.5,482.5,4,0.0,3.5,3.5,0.0
194,0,0.5459,1134,477,1150,494,1142.0,485.5,4,-0.5,3.0,3.0413812651491097,0.0
196,0,0.3884,1133,489,1149,504,1141.0,496.5,4,-0.5,5.5,5.522680508593631,0.0
197,0,0.3884,1133,489,1149,504,1141.0,496.5,4,0.0,0.0,0.0,0.0
198,0,0.1733,1129,487,1147,505,1138.0,496.0,4,-3.0,-0.5,3.0413812651491097,0.0
202,0,0.183,1089,430,1106,448,1097.5,439.0,4,-10.125,-14.25,17.48079303121,0.0
