frame,class,conf,x1,y1,x2,y2
0,0,0.8946,1867,630,1906,667
0,0,0.3419,634,396,651,413
1,0,0.8940,1868,630,1906,667
1,0,0.4801,634,396,651,413
2,0,0.8936,1868,630,1906,667
2,0,0.5432,633,396,650,412
3,0,0.8940,1868,630,1906,667
3,0,0.6457,633,397,650,413
4,0,0.8946,1868,630,1906,667
4,0,0.7225,632,398,648,413
5,0,0.8937,1868,630,1906,667
5,0,0.7287,631,397,647,413
6,0,0.8945,1868,630,1906,667
6,0,0.7249,631,397,646,412
7,0,0.8950,1867,631,1906,667
7,0,0.7324,630,398,646,414
8,0,0.8960,1867,631,1906,667
8,0,0.7446,629,398,645,414
9,0,0.8960,1867,631,1906,667
9,0,0.7397,628,398,644,414
10,0,0.8950,1867,631,1906,667
10,0,0.7324,628,398,645,414
11,0,0.8950,1868,631,1905,667
11,0,0.7217,627,399,644,415
11,0,0.1180,96,553,121,577
12,0,0.8950,1867,631,1906,667
12,0,0.7173,626,399,642,416
13,0,0.8936,1867,631,1906,667
13,0,0.7261,625,400,642,417
13,0,0.1031,97,547,126,574
14,0,0.8945,1867,631,1906,667
14,0,0.7070,625,400,641,417
15,0,0.8965,1867,631,1906,667
15,0,0.6943,624,401,641,417
16,0,0.8975,1867,631,1906,667
16,0,0.6440,624,401,639,417
16,0,0.1037,95,547,126,574
17,0,0.8975,1867,631,1906,667
17,0,0.6387,623,404,639,420
18,0,0.8989,1867,631,1906,667
18,0,0.5156,623,403,639,418
19,0,0.8999,1868,631,1905,667
19,0,0.6313,603,376,618,391
19,0,0.1272,95,547,126,573
20,0,0.8999,1868,631,1905,667
20,0,0.3586,604,376,619,391
20,0,0.1356,623,403,638,418
21,0,0.8984,1868,631,1905,667
21,0,0.3049,604,376,619,391
22,0,0.8984,1868,631,1905,667
22,0,0.2734,604,376,619,391
23,0,0.8984,1868,631,1905,667
23,0,0.4387,604,377,619,393
24,0,0.8975,1868,631,1905,667
24,0,0.3940,604,377,619,392
25,0,0.8989,1867,631,1906,667
25,0,0.4302,604,377,618,392
26,0,0.8989,1867,631,1906,667
26,0,0.3550,603,377,617,392
27,0,0.8965,1868,631,1905,667
27,0,0.3132,602,377,617,393
28,0,0.8975,1868,631,1905,667
28,0,0.1576,600,376,616,393
29,0,0.8960,1868,631,1905,667
30,0,0.8950,1866,630,1907,668
31,0,0.8965,1867,630,1906,668
32,0,0.8945,1867,630,1906,668
33,0,0.8965,1867,631,1906,667
33,0,0.6772,608,397,624,412
34,0,0.8950,1867,631,1906,667
34,0,0.3354,606,392,623,408
35,0,0.8950,1867,631,1906,667
35,0,0.7324,602,381,619,397
36,0,0.8921,1867,631,1906,667
36,0,0.7231,601,373,621,394
37,0,0.8945,1867,631,1906,667
37,0,0.2120,599,362,623,389
38,0,0.8945,1867,631,1906,667
38,0,0.6724,599,355,619,376
39,0,0.8950,1867,630,1906,667
39,0,0.6621,599,348,618,368
40,0,0.8926,1867,630,1906,667
41,0,0.8921,1867,630,1906,667
41,0,0.2688,599,335,615,351
42,0,0.8896,1867,630,1906,668
42,0,0.6943,598,331,616,346
43,0,0.8896,1867,630,1906,667
43,0,0.6426,596,325,615,343
44,0,0.8921,1867,630,1906,668
44,0,0.6040,596,321,615,338
45,0,0.8887,1867,630,1906,668
45,0,0.2031,596,321,614,337
46,0,0.8906,1867,630,1906,667
47,0,0.8945,1867,630,1906,667
48,0,0.8926,1867,631,1906,667
49,0,0.8945,1867,630,1906,667
50,0,0.8921,1867,630,1906,667
51,0,0.8926,1867,630,1906,667
51,0,0.1002,592,321,613,338
52,0,0.8921,1867,630,1906,667
53,0,0.8921,1867,630,1906,667
53,0,0.1233,587,323,609,342
54,0,0.8921,1867,630,1906,667
54,0,0.4338,587,323,606,342
55,0,0.8960,1867,630,1906,667
56,0,0.8950,1867,631,1906,667
56,0,0.7310,576,305,593,320
57,0,0.8960,1867,630,1906,667
57,0,0.7607,570,296,590,315
58,0,0.8945,1867,630,1906,667
58,0,0.3252,562,286,583,307
59,0,0.8936,1867,630,1906,667
59,0,0.7891,557,282,578,301
60,0,0.8926,1867,630,1906,667
60,0,0.7891,549,273,570,292
61,0,0.8926,1867,630,1906,667
62,0,0.8921,1867,630,1906,667
62,0,0.8101,534,260,556,282
63,0,0.8926,1867,630,1906,667
63,0,0.8296,525,257,546,277
64,0,0.8926,1867,630,1906,667
64,0,0.4639,515,253,537,274
65,0,0.8921,1867,630,1906,667
65,0,0.8115,508,252,530,272
66,0,0.8921,1867,630,1906,667
66,0,0.8101,497,247,521,271
67,0,0.8906,1868,631,1905,667
67,0,0.8198,488,245,513,272
68,0,0.8911,1868,630,1905,667
68,0,0.8364,478,245,505,273
69,0,0.8906,1868,630,1905,667
69,0,0.7646,469,250,495,275
70,0,0.8872,1867,630,1906,667
70,0,0.8398,460,253,487,280
71,0,0.8921,1867,630,1906,667
71,0,0.8247,449,258,477,285
72,0,0.8911,1867,630,1906,667
72,0,0.8125,438,263,467,291
73,0,0.8921,1867,630,1906,667
73,0,0.8472,425,271,456,301
74,0,0.8911,1867,630,1906,667
74,0,0.7578,413,285,444,313
75,0,0.8945,1867,630,1906,667
75,0,0.8296,402,296,430,322
76,0,0.8926,1867,630,1906,667
76,0,0.7734,392,305,424,331
77,0,0.8936,1867,630,1906,667
77,0,0.8291,389,295,423,328
78,0,0.8906,1867,630,1906,667
78,0,0.8140,388,286,420,317
79,0,0.8926,1867,630,1906,667
79,0,0.8472,387,275,419,309
80,0,0.8945,1868,631,1905,667
80,0,0.8423,388,270,420,303
81,0,0.8936,1867,631,1906,667
81,0,0.8628,387,266,418,298
82,0,0.8945,1867,631,1906,667
82,0,0.8247,386,262,419,293
83,0,0.8960,1867,631,1906,667
83,0,0.8213,386,260,419,291
84,0,0.8960,1867,631,1906,667
84,0,0.8115,386,261,419,291
85,0,0.8965,1867,631,1906,667
85,0,0.8071,385,260,418,292
86,0,0.8989,1867,631,1906,667
86,0,0.8535,385,264,418,296
87,0,0.8989,1867,631,1906,667
87,0,0.8662,385,266,418,301
88,0,0.8975,1867,631,1906,667
88,0,0.8599,385,273,418,307
89,0,0.8965,1867,631,1906,667
89,0,0.8276,384,282,417,313
90,0,0.8936,1867,631,1906,667
90,0,0.8569,385,291,419,323
91,0,0.8921,1867,631,1906,667
91,0,0.8423,385,300,419,334
92,0,0.8911,1867,630,1906,668
92,0,0.8472,387,313,420,346
93,0,0.8945,1867,630,1906,668
93,0,0.8296,385,325,420,359
94,0,0.8960,1867,630,1906,667
94,0,0.8364,388,344,420,375
95,0,0.8989,1868,631,1905,667
95,0,0.7920,389,358,421,391
96,0,0.8960,1867,630,1906,668
96,0,0.7744,390,376,422,409
97,0,0.8984,1867,631,1906,667
97,0,0.7686,390,399,424,431
98,0,0.8965,1867,630,1906,667
98,0,0.8081,390,418,423,451
99,0,0.8926,1867,630,1906,668
99,0,0.8071,391,441,425,475
100,0,0.8936,1867,630,1906,667
100,0,0.7944,396,469,426,499
101,0,0.8945,1867,630,1906,668
101,0,0.7842,395,490,427,523
102,0,0.8945,1867,630,1906,668
102,0,0.7944,397,519,430,552
103,0,0.8936,1867,630,1906,668
103,0,0.7920,398,546,431,578
104,0,0.8926,1867,630,1906,668
104,0,0.8472,401,580,432,610
105,0,0.8950,1867,630,1906,668
105,0,0.8042,418,579,448,608
106,0,0.8960,1867,630,1906,668
106,0,0.6548,440,571,469,598
107,0,0.8945,1867,630,1906,668
107,0,0.7769,464,567,491,592
108,0,0.8921,1867,630,1906,668
108,0,0.8311,481,556,512,586
109,0,0.8921,1867,630,1906,668
109,0,0.8423,502,553,532,583
110,0,0.8921,1867,630,1906,668
110,0,0.7676,523,555,548,579
111,0,0.8960,1867,630,1906,667
111,0,0.6079,542,552,570,581
112,0,0.8926,1867,630,1906,667
112,0,0.5737,558,554,587,584
113,0,0.8945,1867,630,1906,667
113,0,0.7920,575,553,603,580
114,0,0.8950,1867,630,1906,667
114,0,0.8042,597,560,627,585
115,0,0.8960,1867,630,1906,667
115,0,0.3940,612,566,640,590
116,0,0.8960,1867,630,1906,667
117,0,0.8960,1867,629,1906,666
118,0,0.8950,1867,630,1906,667
118,0,0.6943,666,590,690,614
119,0,0.8926,1867,630,1906,667
119,0,0.1277,682,602,709,627
120,0,0.8896,1867,630,1906,667
120,0,0.7617,697,586,723,613
121,0,0.8936,1867,630,1906,667
122,0,0.8921,1867,630,1906,667
123,0,0.8945,1867,630,1906,667
124,0,0.8945,1868,629,1905,666
124,0,0.2659,608,378,626,396
125,0,0.8921,1867,630,1906,667
126,0,0.8926,1867,630,1906,667
126,0,0.4980,777,541,813,570
127,0,0.8906,1867,630,1906,667
127,0,0.6133,795,539,825,566
128,0,0.8911,1867,630,1906,667
128,0,0.7666,808,535,835,559
129,0,0.8926,1867,630,1906,667
130,0,0.8896,1867,630,1906,667
131,0,0.8906,1867,630,1906,667
132,0,0.8936,1867,630,1906,667
133,0,0.8921,1867,630,1906,667
134,0,0.8926,1867,630,1906,667
135,0,0.8936,1867,630,1906,667
