frame,class,conf,x1,y1,x2,y2,cx,cy,track_id,vx,vy,speed_px_frame,direction_deg
0,0,0.8946,1867,630,1906,667,1886.5,648.5,0,0.0,0.0,0.0,0.0
0,0,0.3419,634,396,651,413,642.5,404.5,1,0.0,0.0,0.0,0.0
1,0,0.894,1868,630,1906,667,1887.0,648.5,0,0.5,0.0,0.5,0.0
1,0,0.4801,634,396,651,413,642.5,404.5,1,0.0,0.0,0.0,0.0
2,0,0.8936,1868,630,1906,667,1887.0,648.5,0,0.0,0.0,0.0,0.0
2,0,0.5432,633,396,650,412,641.5,404.0,1,-1.0,-0.5,1.118033988749895,0.0
3,0,0.894,1868,630,1906,667,1887.0,648.5,0,0.0,0.0,0.0,0.0
3,0,0.6457,633,397,650,413,641.5,405.0,1,0.0,1.0,1.0,0.0
4,0,0.8946,1868,630,1906,667,1887.0,648.5,0,0.0,0.0,0.0,0.0
4,0,0.7225,632,398,648,413,640.0,405.5,1,-1.5,0.5,1.5811388300841898,0.0
5,0,0.8937,1868,630,1906,667,1887.0,648.5,0,0.0,0.0,0.0,0.0
5,0,0.7287,631,397,647,413,639.0,405.0,1,-1.0,-0.5,1.118033988749895,0.0
6,0,0.8945,1868,630,1906,667,1887.0,648.5,0,0.0,0.0,0.0,0.0
6,0,0.7249,631,397,646,412,638.5,404.5,1,-0.5,-0.5,0.7071067811865476,0.0
7,0,0.895,1867,631,1906,667,1886.5,649.0,0,-0.5,0.5,0.7071067811865476,0.0
7,0,0.7324,630,398,646,414,638.0,406.0,1,-0.5,1.5,1.5811388300841898,0.0
8,0,0.896,1867,631,1906,667,1886.5,649.0,0,0.0,0.0,0.0,0.0
8,0,0.7446,629,398,645,414,637.0,406.0,1,-1.0,0.0,1.0,0.0
9,0,0.896,1867,631,1906,667,1886.5,649.0,0,0.0,0.0,0.0,0.0
9,0,0.7397,628,398,644,414,636.0,406.0,1,-1.0,0.0,1.0,0.0
10,0,0.895,1867,631,1906,667,1886.5,649.0,0,0.0,0.0,0.0,0.0
10,0,0.7324,628,398,645,414,636.5,406.0,1,0.5,0.0,0.5,0.0
11,0,0.118,96,553,121,577,108.5,565.0,2,0.0,0.0,0.0,0.0
