frame,label
0,Downtime
1,Downtime
2,Downtime
3,Downtime
4,Downtime
5,Downtime
6,Downtime
7,Downtime
8,Downtime
9,Downtime
10,Downtime
11,Downtime
12,Downtime
13,Downtime
14,Downtime
15,Downtime
16,Downtime
17,Downtime
18,Downtime
19,Downtime
20,Downtime
21,Downtime
22,Downtime
23,Downtime
24,Downtime
25,Downtime
26,Downtime
27,Downtime
28,Downtime
29,Downtime
30,Downtime
31,Downtime
32,Downtime
33,Downtime
34,Downtime
35,Downtime
36,Downtime
37,Downtime
38,Downtime
39,Downtime
40,Downtime
41,Downtime
42,Downtime
43,Downtime
44,Downtime
45,Downtime
46,Downtime
47,Downtime
48,Downtime
49,Downtime
50,Downtime
51,Downtime
52,Downtime
53,Downtime
54,Downtime
55,Downtime
56,Downtime
57,Downtime
58,Downtime
59,Downtime
60,Downtime
61,Downtime
62,Downtime
63,Downtime
64,Downtime
65,Downtime
66,Downtime
67,Downtime
68,Downtime
69,Downtime
70,Downtime
71,Downtime
72,Downtime
73,Downtime
74,Downtime
75,Rally
76,Rally
77,Rally
78,Rally
79,Rally
80,Rally
81,Rally
82,Rally
83,Rally
84,Rally
85,Rally
86,Rally
87,Rally
88,Rally
89,Rally
90,Rally
91,Rally
92,Rally
93,Rally
94,Rally
95,Rally
96,Rally
97,Rally
98,Rally
99,Rally
100,Rally
101,Rally
102,Rally
103,Rally
104,Rally
105,Rally
106,Rally
107,Rally
108,Rally
109,Rally
110,Rally
111,Rally
112,Rally
113,Rally
114,Rally
115,Rally
116,Rally
117,Rally
118,Rally
119,Rally
120,Rally
121,Rally
122,Rally
123,Rally
124,Rally
125,Rally
126,Rally
127,Rally
128,Rally
129,Rally
130,Rally
131,Rally
132,Rally
133,Rally
134,Rally
135,Rally
136,Rally
137,Rally
138,Rally
139,Rally
140,Rally
141,Rally
142,Rally
143,Rally
144,Rally
145,Rally
146,Rally
147,Rally
148,Rally
149,Rally
150,Rally
151,Rally
152,Rally
153,Rally
154,Rally
155,Rally
156,Rally
157,Rally
158,Rally
159,Rally
160,Rally
161,Rally
162,Rally
163,Rally
164,Rally
165,Rally
166,Rally
167,Rally
168,Rally
169,Rally
170,Rally
171,Rally
172,Rally
173,Rally
174,Rally
175,Rally
176,Rally
177,Rally
178,Rally
179,Rally
180,Rally
181,Rally
182,Rally
183,Rally
184,Rally
185,Rally
186,Rally
187,Rally
188,Rally
189,Rally
190,Rally
191,Rally
192,Rally
193,Rally
194,Rally
195,Rally
196,Rally
197,Rally
198,Rally
199,Rally
200,Rally
201,Rally
202,Rally
203,Rally
204,Rally
205,Rally
206,Rally
207,Rally
208,Rally
209,Rally
210,Rally
211,Rally
212,Rally
213,Rally
214,Downtime
215,Downtime
216,Downtime
217,Downtime
218,Downtime
219,Downtime
220,Downtime
221,Downtime
222,Downtime
223,Downtime
224,Downtime
225,Downtime
226,Downtime
227,Downtime
228,Downtime
229,Downtime
230,Downtime
231,Downtime
232,Downtime
233,Downtime
234,Downtime
235,Downtime
236,Downtime
237,Downtime
238,Downtime
239,Downtime
240,Downtime
241,Downtime
242,Downtime
243,Downtime
244,Downtime
245,Downtime
246,Downtime
247,Downtime
248,Downtime
249,Downtime
250,Downtime
251,Downtime
252,Downtime
253,Downtime
254,Downtime
255,Downtime
256,Downtime
257,Downtime
258,Downtime
259,Downtime
260,Downtime
261,Downtime
262,Downtime
263,Downtime
264,Downtime
265,Downtime
266,Downtime
267,Downtime
268,Downtime
269,Downtime
270,Downtime
271,Downtime
272,Downtime
273,Downtime
274,Downtime
275,Downtime
276,Downtime
277,Downtime
278,Downtime
279,Downtime
280,Downtime
281,Downtime
282,Downtime
283,Downtime
284,Downtime
285,Downtime
286,Downtime
287,Downtime
288,Downtime
289,Downtime
290,Downtime
291,Downtime
292,Downtime
293,Downtime
294,Downtime
295,Downtime
296,Downtime
297,Downtime
298,Downtime
299,Downtime
300,Downtime
301,Downtime
302,Downtime
303,Downtime
304,Downtime
305,Downtime
306,Downtime
307,Downtime
308,Downtime
309,Downtime
310,Downtime
311,Downtime
312,Downtime
313,Downtime
314,Downtime
315,Downtime
316,Downtime
317,Downtime
318,Downtime
319,Downtime
320,Downtime
321,Downtime
322,Downtime
323,Downtime
324,Downtime
325,Downtime
326,Downtime
327,Downtime
328,Downtime
329,Downtime
330,Downtime
331,Downtime
332,Downtime
333,Downtime
334,Downtime
335,Downtime
336,Downtime
337,Downtime
338,Downtime
339,Downtime
340,Downtime
341,Downtime
342,Downtime
343,Downtime
344,Downtime
345,Downtime
346,Downtime
347,Downtime
348,Downtime
349,Downtime
350,Downtime
351,Downtime
352,Downtime
353,Downtime
354,Downtime
355,Downtime
356,Downtime
357,Downtime
358,Downtime
359,Downtime
360,Downtime
361,Downtime
362,Downtime
363,Downtime
364,Downtime
365,Downtime
366,Downtime
367,Downtime
368,Downtime
369,Downtime
370,Downtime
371,Downtime
372,Downtime
373,Downtime
374,Downtime
375,Downtime
376,Downtime
377,Downtime
378,Downtime
379,Downtime
380,Downtime
381,Downtime
382,Downtime
383,Downtime
384,Downtime
385,Downtime
386,Downtime
387,Downtime
388,Downtime
389,Downtime
390,Downtime
391,Downtime
392,Downtime
393,Downtime
394,Downtime
395,Downtime
396,Downtime
397,Downtime
398,Downtime
399,Downtime
400,Downtime
401,Downtime
402,Downtime
403,Downtime
404,Downtime
405,Downtime
406,Downtime
407,Downtime
408,Downtime
409,Downtime
410,Downtime
411,Downtime
412,Downtime
413,Downtime
414,Downtime
415,Downtime
416,Downtime
417,Downtime
418,Downtime
419,Downtime
420,Downtime
421,Downtime
422,Downtime
423,Downtime
424,Downtime
425,Downtime
426,Downtime
427,Downtime
428,Downtime
429,Downtime
430,Downtime
431,Downtime
432,Downtime
433,Downtime
434,Downtime
435,Downtime
436,Downtime
437,Downtime
438,Downtime
439,Downtime
440,Downtime
441,Downtime
442,Downtime
443,Downtime
444,Downtime
445,Downtime
446,Downtime
447,Downtime
448,Downtime
449,Downtime
450,Downtime
451,Downtime
452,Downtime
453,Downtime
454,Downtime
455,Downtime
456,Downtime
457,Downtime
458,Downtime
459,Downtime
460,Downtime
461,Downtime
462,Downtime
463,Downtime
464,Downtime
465,Downtime
466,Downtime
467,Downtime
468,Downtime
469,Downtime
470,Downtime
471,Downtime
472,Downtime
473,Downtime
474,Downtime
475,Downtime
476,Downtime
477,Downtime
478,Downtime
479,Downtime
480,Downtime
481,Downtime
482,Downtime
483,Downtime
484,Downtime
485,Downtime
486,Downtime
487,Downtime
488,Downtime
489,Downtime
490,Downtime
491,Downtime
492,Downtime
493,Downtime
494,Downtime
495,Downtime
496,Downtime
497,Downtime
498,Downtime
499,Downtime
500,Downtime
501,Downtime
502,Downtime
503,Downtime
504,Downtime
505,Downtime
506,Downtime
507,Downtime
508,Downtime
509,Downtime
510,Downtime
511,Downtime
512,Downtime
513,Downtime
514,Downtime
515,Downtime
516,Downtime
517,Downtime
518,Downtime
519,Downtime
520,Downtime
521,Downtime
522,Downtime
523,Downtime
524,Downtime
525,Downtime
526,Downtime
527,Downtime
528,Downtime
529,Downtime
530,Downtime
531,Downtime
532,Downtime
533,Downtime
534,Downtime
535,Downtime
536,Downtime
537,Downtime
538,Downtime
539,Downtime
540,Downtime
541,Downtime
542,Downtime
543,Downtime
544,Downtime
545,Downtime
546,Downtime
547,Downtime
548,Downtime
549,Downtime
550,Downtime
551,Downtime
552,Downtime
553,Downtime
554,Downtime
555,Downtime
556,Downtime
557,Downtime
558,Downtime
559,Downtime
560,Downtime
561,Downtime
562,Downtime
563,Downtime
564,Downtime
565,Downtime
566,Downtime
567,Downtime
568,Downtime
569,Downtime
570,Downtime
571,Downtime
572,Downtime
573,Downtime
574,Downtime
575,Downtime
576,Downtime
577,Downtime
578,Downtime
579,Downtime
580,Downtime
581,Downtime
582,Downtime
583,Downtime
584,Downtime
585,Downtime
586,Downtime
587,Downtime
588,Downtime
589,Downtime
590,Downtime
591,Downtime
592,Downtime
593,Downtime
594,Downtime
595,Downtime
596,Downtime
597,Downtime
598,Downtime
599,Downtime
600,Downtime
601,Downtime
602,Downtime
603,Downtime
604,Downtime
605,Downtime
606,Downtime
607,Downtime
608,Downtime
609,Downtime
610,Downtime
611,Downtime
612,Downtime
613,Downtime
614,Downtime
615,Downtime
616,Downtime
617,Downtime
618,Downtime
619,Downtime
620,Downtime
621,Downtime
622,Downtime
623,Downtime
624,Downtime
625,Downtime
626,Downtime
627,Downtime
628,Downtime
629,Downtime
630,Downtime
631,Downtime
632,Downtime
633,Downtime
634,Downtime
635,Downtime
636,Downtime
637,Downtime
638,Downtime
639,Downtime
640,Downtime
641,Downtime
642,Downtime
643,Downtime
644,Downtime
645,Downtime
646,Downtime
647,Downtime
648,Downtime
649,Downtime
650,Downtime
651,Downtime
652,Downtime
653,Downtime
654,Downtime
655,Downtime
656,Downtime
657,Downtime
658,Downtime
659,Downtime
660,Downtime
661,Downtime
662,Downtime
663,Downtime
664,Downtime
665,Downtime
666,Downtime
667,Downtime
668,Downtime
669,Downtime
670,Downtime
671,Downtime
672,Downtime
673,Downtime
674,Downtime
675,Downtime
676,Downtime
677,Downtime
678,Downtime
679,Downtime
680,Downtime
681,Downtime
682,Downtime
683,Downtime
684,Downtime
685,Downtime
686,Downtime
687,Downtime
688,Downtime
689,Downtime
690,Downtime
691,Downtime
692,Downtime
693,Downtime
694,Downtime
695,Downtime
696,Downtime
697,Downtime
698,Downtime
699,Downtime
700,Downtime
701,Downtime
702,Downtime
703,Downtime
704,Downtime
705,Downtime
706,Downtime
707,Downtime
708,Downtime
709,Downtime
710,Downtime
711,Downtime
712,Downtime
713,Downtime
714,Downtime
715,Downtime
716,Downtime
717,Downtime
718,Downtime
719,Downtime
720,Downtime
721,Downtime
722,Downtime
723,Downtime
724,Downtime
725,Downtime
726,Downtime
727,Downtime
728,Downtime
729,Downtime
730,Downtime
731,Downtime
732,Downtime
733,Downtime
734,Downtime
735,Downtime
736,Downtime
737,Downtime
738,Downtime
739,Downtime
740,Downtime
741,Downtime
742,Downtime
743,Downtime
744,Downtime
745,Downtime
746,Downtime
747,Downtime
748,Downtime
749,Downtime
750,Rally
751,Rally
752,Rally
753,Rally
754,Rally
755,Rally
756,Rally
757,Rally
758,Rally
759,Rally
760,Rally
761,Rally
762,Rally
763,Rally
764,Rally
765,Rally
766,Rally
767,Rally
768,Rally
769,Rally
770,Rally
771,Rally
772,Rally
773,Rally
774,Rally
775,Rally
776,Rally
777,Rally
778,Rally
779,Rally
780,Rally
781,Rally
782,Rally
783,Rally
784,Rally
785,Rally
786,Rally
787,Rally
788,Rally
789,Rally
790,Rally
791,Rally
792,Rally
793,Rally
794,Rally
795,Rally
796,Rally
797,Rally
798,Rally
799,Rally
800,Rally
801,Rally
802,Rally
803,Rally
804,Rally
805,Rally
806,Rally
807,Rally
808,Rally
809,Rally
810,Rally
811,Rally
812,Rally
813,Rally
814,Rally
815,Rally
816,Rally
817,Rally
818,Rally
819,Rally
820,Rally
821,Rally
822,Rally
823,Rally
824,Rally
825,Rally
826,Rally
827,Rally
828,Rally
829,Rally
830,Rally
831,Rally
832,Rally
833,Rally
834,Rally
835,Rally
836,Rally
837,Rally
838,Rally
839,Rally
840,Rally
841,Rally
842,Rally
843,Rally
844,Rally
845,Rally
846,Rally
847,Rally
848,Rally
849,Rally
850,Rally
851,Rally
852,Rally
853,Rally
854,Rally
855,Rally
856,Rally
857,Rally
858,Rally
859,Rally
860,Rally
861,Rally
862,Rally
863,Rally
864,Rally
865,Rally
866,Rally
867,Rally
868,Rally
869,Rally
870,Rally
871,Rally
872,Rally
873,Rally
874,Rally
875,Rally
876,Rally
877,Rally
878,Rally
879,Rally
880,Rally
881,Rally
882,Rally
883,Rally
884,Rally
885,Rally
886,Rally
887,Rally
888,Rally
889,Rally
890,Rally
891,Rally
892,Rally
893,Rally
894,Rally
895,Rally
896,Rally
897,Rally
898,Rally
899,Rally
900,Rally
901,Rally
902,Rally
903,Rally
904,Rally
905,Rally
906,Rally
907,Rally
908,Rally
909,Rally
910,Rally
911,Rally
912,Rally
913,Rally
914,Rally
915,Rally
916,Rally
917,Rally
918,Rally
919,Rally
920,Rally
921,Rally
922,Rally
923,Rally
924,Rally
925,Rally
926,Rally
927,Rally
928,Rally
929,Rally
930,Rally
931,Rally
932,Rally
933,Rally
934,Rally
935,Rally
936,Rally
937,Rally
938,Rally
939,Rally
940,Rally
941,Rally
942,Rally
943,Rally
944,Rally
945,Rally
946,Rally
947,Rally
948,Rally
949,Rally
950,Rally
951,Rally
952,Rally
953,Rally
954,Rally
955,Rally
956,Rally
957,Rally
958,Rally
959,Rally
960,Rally
961,Rally
962,Rally
963,Rally
964,Rally
965,Rally
966,Rally
967,Rally
968,Rally
969,Rally
970,Rally
971,Rally
972,Rally
973,Rally
974,Rally
975,Rally
976,Downtime
977,Downtime
978,Downtime
979,Downtime
980,Downtime
981,Downtime
982,Downtime
983,Downtime
984,Downtime
985,Downtime
986,Downtime
987,Downtime
988,Downtime
989,Downtime
990,Downtime
991,Downtime
992,Downtime
993,Downtime
994,Downtime
995,Downtime
996,Downtime
997,Downtime
998,Downtime
999,Downtime
1000,Downtime
1001,Downtime
1002,Downtime
1003,Downtime
1004,Downtime
1005,Downtime
1006,Downtime
1007,Downtime
1008,Downtime
1009,Downtime
1010,Downtime
1011,Downtime
1012,Downtime
1013,Downtime
1014,Downtime
1015,Downtime
1016,Downtime
1017,Downtime
1018,Downtime
1019,Downtime
1020,Downtime
1021,Downtime
1022,Downtime
1023,Downtime
1024,Downtime
1025,Downtime
1026,Downtime
1027,Downtime
1028,Downtime
1029,Downtime
1030,Downtime
1031,Downtime
1032,Downtime
1033,Downtime
1034,Downtime
1035,Downtime
1036,Downtime
1037,Downtime
1038,Downtime
1039,Downtime
1040,Downtime
1041,Downtime
1042,Downtime
1043,Downtime
1044,Downtime
1045,Downtime
1046,Downtime
1047,Downtime
1048,Downtime
1049,Downtime
1050,Downtime
1051,Downtime
1052,Downtime
1053,Downtime
1054,Downtime
1055,Downtime
1056,Downtime
1057,Downtime
1058,Downtime
1059,Downtime
1060,Downtime
1061,Downtime
1062,Downtime
1063,Downtime
1064,Downtime
1065,Downtime
1066,Downtime
1067,Downtime
1068,Downtime
1069,Downtime
1070,Downtime
1071,Downtime
1072,Downtime
1073,Downtime
1074,Downtime
1075,Downtime
1076,Downtime
1077,Downtime
1078,Downtime
1079,Downtime
1080,Downtime
1081,Downtime
1082,Downtime
1083,Downtime
1084,Downtime
1085,Downtime
1086,Downtime
1087,Downtime
1088,Downtime
1089,Downtime
1090,Downtime
1091,Downtime
1092,Downtime
1093,Downtime
1094,Downtime
1095,Downtime
1096,Downtime
1097,Downtime
1098,Downtime
1099,Downtime
1100,Downtime
1101,Downtime
1102,Downtime
1103,Downtime
1104,Downtime
1105,Downtime
1106,Downtime
1107,Downtime
1108,Downtime
1109,Downtime
1110,Downtime
1111,Downtime
1112,Downtime
1113,Downtime
1114,Downtime
1115,Downtime
1116,Downtime
1117,Downtime
1118,Downtime
1119,Downtime
1120,Downtime
1121,Downtime
1122,Downtime
1123,Downtime
1124,Downtime
1125,Downtime
1126,Downtime
1127,Downtime
1128,Downtime
1129,Downtime
1130,Downtime
1131,Downtime
1132,Downtime
1133,Downtime
1134,Downtime
1135,Downtime
1136,Downtime
1137,Downtime
1138,Downtime
1139,Downtime
1140,Downtime
1141,Downtime
1142,Downtime
1143,Downtime
1144,Downtime
1145,Downtime
1146,Downtime
1147,Downtime
1148,Downtime
1149,Downtime
1150,Downtime
1151,Downtime
1152,Downtime
1153,Downtime
1154,Downtime
1155,Downtime
1156,Downtime
1157,Downtime
